#,island,location,site,interest,popularity,#_of_ratings,avg,shore_access,qualification,depth_avg,depth_max,description,depth_max_clean,latitude,longitude
1,Malta,Cirkewwa,,Cave & Reef & Wall & Wreck,High,5,4.2,Easy,Beginner,5+m,30+m,"Cirkewwa has many popular dive sites in Malta: Cirkewwa Arch, Patrol Boat P29 & Tugboat Rozi wrecks, Susie's Pool, Madonna statue and wall reef with swimthroughs.",30.0,35.9890916,14.3290837
2,Malta,Cirkewwa,"P29 (Patrol Boat P29, Boltenhagen)",Wreck,High,10,4.4,Easy,Advanced,20m,34m,Patrol Boat P29 (Boltenhagen) is a popular wreck dive in Malta. P29 was 52m patrol boat that was scuttled 2007 in Cirkewwa. Wreck is at 34m depth.,34.0,35.9890916,14.3290837
3,Malta,Cirkewwa,"Rozi (MV Rozi, Tug Boat Rozi, Rozy)",Reef & Wreck,High,7,4.4,Easy,Advanced,20m,34m,Tugboat Rozi is a popular wreck dive in Malta. Rozi was 35m tug boat that was scuttled in 1992. The wreck rests off shore from Cirkewwa with max depth 34m.,34.0,35.9890916,14.3290837
4,Malta,Cirkewwa,"Arch (Cirkewwa Arch, Right Arch, Green Arch Reef, Right Reef)",Cave & Reef,High,7,3.3,Easy,Beginner,15m,25m,"Cirkewwa Arch dive site is a beautiful natural underwater archway in Malta, 12 metres below the surface and 8 metres above the seabed.",25.0,35.9890916,14.3290837
5,Malta,Cirkewwa,Paradise Bay (Left Reef),Reef,Medium,4,3.3,Easy,Beginner,10m,30m,"Paradise Bay reef dive in Cirkewwa offers rock formations, boulder fields, sandy bottoms, sea grass, drop-offs, swim-throughs and natural rock arch.",30.0,35.9890916,14.3290837
6,Malta,Cirkewwa,Susie's Pool,Reef,High,4,3.0,Easy,Beginner,5m,18m,"Susie's Pool is shallow diving area in Cirkewwa, often used to practice skills. Halfway along reef wall there is Madonna statue in small cave.",18.0,35.9890916,14.3290837
7,Malta,Cirkewwa,"Reef Beyond Rozi (Right Reef, North Reef)",Reef & Wall,Low,4,4.0,Medium,Technical,20m,45+m,Reef Beyond Rozi is a nice wall reef with caves and overhangs far behind tugboat Rozi wreck and Cirkewwa Arch. Challenging dive site with max depth over 40m.,45.0,35.9890916,14.3290837
8,Malta,Ghar Lapsi,,Cave & Reef & Wall,High,3,3.7,Easy,Beginner,6m,25m,"Ghar Lapsi has many shallow dive sites: 40m cave system, reefs with caves & walls (Finger Reef, Middle Reef, Black John), and underwater nativity scene (Crib).",25.0,35.8268645,14.4234201
9,Malta,Ghar Lapsi,Cave,Cave,High,4,4.3,Easy,Advanced,5m,12m,Ghar Lapsi Cave dive site is 40m long shallow cave system in Malta with lots of cracks that allow plenty of sunlight to seek in making the cave full of color.,12.0,35.8268645,14.4234201
10,Malta,Ghar Lapsi,Finger Reef,Cave & Reef & Wall,High,3,3.3,Easy,Beginner,7m,20m,"Finger Reef dive site in Ghar Lapsi is finger shaped reef with small wall, and cave with hole in roof, which one can exit through. Max depth of dive is 20m.",20.0,35.8268645,14.4234201
11,Malta,Ghar Lapsi,Middle Reef,Reef,Medium,3,3.0,Easy,Beginner,10m,12m,"Middle Reef consists of several reefs, surrounded by sand, sea grass & small boulders. Middle Reef is shallowest dive site in Ghar Lapsi, with max depth 12m.",12.0,35.8268645,14.4234201
12,Malta,Ghar Lapsi,Crib (Crib Reef),Wreck,Medium,2,2.0,Easy,Advanced,15m,22m,Crib dive site in Ghar Lapsi is an underwater nativity scene with almost life-sized figures. Crib is located under an overhang on the outer reef at 22m.,22.0,35.8268645,14.4234201
13,Malta,Ghar Lapsi,Black John,Reef & Wall,Low,4,3.5,Hard,Advanced,12m,40+m,Black John dive site is offshore reef near Ghar Lapsi in Malta with max depth 38m. Black John offers divers some interesting rock formations and halocline.,40.0,35.8268645,14.4234201
14,Malta,Wied iz-Zurrieq (Blue Grotto),,Cave & Reef & Wall & Wreck,High,1,5.0,Easy,Beginner,5+m,30+m,"Wied iz-Zurrieq is famous for Blue Grotto & Um El Faroud wreck dive. Other dive sites in Wied iz-Zurrieq are East & West Reef, caves, helmet statue and valley.",30.0,,
15,Malta,Wied iz-Zurrieq,"Um El Faroud (MV Um El Faroud, Um El Farud, Um El Farroud, UEF)",Wreck,High,11,4.9,Easy,Advanced,20m,36m,Um El Faroud is the best wreck dive in Malta. Um El Faroud was scuttled 1998 for scuba diving off Wied iz-Zurrieq. Wreck is at 36m.,36.0,35.819672,14.4529936
16,Malta,Wied iz-Zurrieq,"West Reef & Caves (West Reef, Right Wall, Bell Tower Cave, Bell Cave)",Cave & Reef & Wall,High,3,3.3,Easy,Advanced,5m,25m,"West Reef & Caves dive site is in Wied iz-Zurrieq. West Reef has drop-offs, ledges, gullies, boulders and two caves, one named Bell Tower Cave.",25.0,35.819672,14.4529936
17,Malta,Wied iz-Zurrieq,East Reef (Left Wall),Reef & Wall,Medium,3,3.0,Easy,Beginner,5m,36m,East Reef is one of the dive sites in Wied iz-Zurrieq. East Reef is wall dive with max depth over 30m. Often excellent visibility and lots of marine life.,36.0,35.819672,14.4529936
18,Malta,Wied iz-Zurrieq,Valley,Cave & Reef & Wall,Low,2,2.5,Easy,Beginner,3m,14m,Valley is starting/ending point for shore dives in Wied iz-Zurrieq. Shallow inlet is excellent site for night diving and training dives. Lots of marine life.,14.0,35.819672,14.4529936
19,Malta,Wied iz-Zurrieq,Blue Grotto Caves,Cave & Reef & Wall,Not dived,1,4.0,Hard,Beginner,3m,14m,"The caverns have a lot to explore, but it's accessible only by boat or about a 40 minutes swim from the valley entry. As it's a popular tourist site, there is also a lot of boat traffic. As a shallow dive site it's also exposed to swell.",14.0,35.819672,14.4529936
20,Malta,Valletta,,Reef & Wreck,High,2,2.5,Easy,Beginner,5+m,30+m,"Valletta is capital of Malta, located on northeast coast. Dive sites in Valletta are World War II wreck HMS Maori in St. Elmo Bay, and Fort St. Elmo reef.",30.0,35.8989979,14.5136607
21,Malta,Valletta,"HMS Maori (L24, F24, G24, Maori)",Reef & Wreck,High,10,4.2,Easy,Beginner,12m,16m,"HMS Maori was WWII British destroyer that sunk in 1942. Maori is a shallow wreck dive in Valletta, Malta. Wreck is half buried in sand with max depth 16m.",16.0,35.8989979,14.5136607
22,Malta,Valletta,"Fort St. Elmo (St. Elmo Reef, Elmo Reef)",Reef,Low,3,2.3,Easy,Advanced,15+m,35+m,"Fort St. Elmo diving site is in Valletta, between Marsamxett and Grand Harbour, at the seaward side of the fort. This is a good reef dive with max depth 35m.",35.0,35.8989979,14.5136607
23,Malta,Exiles,,Reef & Wreck,High,2,3.0,Easy,Beginner,5m,25m,"Exiles is located in Sliema, northeastern Malta. The dive sites here are Tug 2 wreck, a tugboat scuttled in 2013, and Exiles reef. Max depth is 22m.",25.0,35.9160059,14.49701
24,Malta,Exiles,"Tug 2 (Tugboat 2, Tug Boat 2, Tuo Lun Er Hao)",Reef & Wreck,High,9,4.1,Easy,Advanced,15m,25m,"Tug Boat 2 is shallow wreck dive off shore Exiles, Sliema, Malta. Tug 2 was 30m tugboat and was scuttled in 2013 for scuba diving. Wreck is upright at 22m.",25.0,35.9160059,14.49701
25,Malta,Exiles,Exiles Reef,Reef,High,3,2.3,Easy,Beginner,14m,25m,"Exiles Reef dive site in Sliema is a shallow reef with narrow gullies and overhangs, Posidonia seagrass fields and diversity of fish life. Max depth is 20m.",25.0,35.9160059,14.49701
26,Malta,Exiles,Fireworks Barge,Wreck,Not dived,1,4.0,Medium,Beginner,8m,10m,"Fireworks barge wreck is in St. Julian’s Bay between Spinola and Exiles. Barge sank 2009 after fireworks explosion, and lies on sand at depth 10m.",10.0,35.9160059,14.49701
27,Malta,Qawra Point,,Cave & Reef & Wall,High,1,3.0,Easy,Beginner,5m,35m,"Qawra Point dive site is on northeast coast of Malta. Diving in Qawra Point includes reefs, caves (Fra Ben Cave and L-Cave), small arch, and shallow bay.",35.0,,
28,Malta,Qawra Point,Fra Ben Cave,Cave & Reef,High,5,3.6,Medium,Beginner,3m,9m,Fra Ben Cave is shallow cavern dive on north side of Qawra Point. Fra Ben Cave entrance is 100m from entry point at 6m depth. Cavern has an open ceiling.,9.0,,
29,Malta,Qawra Point,North Reef & Arch (Qawra Point North),Reef,Medium,5,2.4,Medium,Advanced,15m,20m,North Reef & Arch is offshore reef dive on north side of Qawra Point. Wall reef drops from 10m down to 15m. Near the reef there is little arch 18m deep.,20.0,,
30,Malta,Qawra Point,Qawra Bay (Inner Reef),Reef,High,3,2.0,Easy,Beginner,2m,10m,Qawra Bay is shallow dive site on south east side of Qawra Point. This sheltered bay is suitable for training and try dives. Seabed is sand and seagrass.,10.0,,
31,Malta,Qawra Point,L-Cave,Cave & Reef & Wall,Low,2,3.5,Medium,Experienced,30m,40m,L-Cave is deep swim-through cave dive off Qawra Point. L-Cave is quite tight L-shaped tunnel with sandy bottom located in small valley at depth around 33m.,40.0,,
